child_dialect_count	child_family_count	child_language_count	family_pk	father_pk	hid	id	latitude	longitude	longitude	name	pk	Bantu_status	Ethnologue_Population	Ethnologue_L1	Ethnologue_L2	L2_extra_source_if_not_ethnologue	Num_of_neighbours_within_50k	tree_name	Guthrie	presence_in_Grollemund	comments_Grollemund_tree	level_of_description
9	0	0	104955	106262	bdu	orok1266	4.89504	9.15209	915.209	Oroko	29732	Narrow Bantu	"106,000 (2000)."	106000			2	A11_Londo	A101	1	"2, A121_Mbonge ; A122_Bakundu"	
2	0	0	104955	29744	bwt	bafa1247	4.53307	9522	9522	Bafaw-Balong	29767	Narrow Bantu	"8,400 (1982 SIL)."	8400			8	A141_Lefo	A13 / A141	1		
0	0	0	104955	106089	bvg	bonk1243	4.66054	9.76306	976.306	Bonkeng	29742	Narrow Bantu	"3,000 (2000)."	3000			5		A14	0		no description
1	0	0	104955	106571	bsi	bass1260	5.23655	9.52275	952.275	Bassossi	29758	Narrow Bantu	"5,000 (2004 SIL)."	5000			5	A15_Manenguba	A15	1	"2, A15B_Mienge_NW_Manenguba"	
7	0	0	104955	106678	bss	akoo1248	4.9243	9.65522	965.522	Akoose	29745	Narrow Bantu	"100,000 (2001 SIL), increasing."	100000			6	A15C_Akossi	A15	1		
6	0	0	104955	106678	bqz	baka1273	4.79991	9.80402	980.402	Bakaka	29760	Narrow Bantu	"30,000 (1998 SIL)."	30000			4	A15C_Mkaa	A15	1		
4	0	0	104955	106571	mbo	mboc1235	5.13981	9.92766	992.766	Mbo (Cameroon)	29753	Narrow Bantu	"45,000 (Ewan\'e Etam\'e 1995)."	45000			8	A15A_Mbuu	A15	1		
0	0	0	104955	106257	nkc	nkon1247	5.33848	9.80096	980.096	Nkongho	29743	Narrow Bantu	"2,230 (2000)."	2230			11	A151_Nkongho	A151	1		
0	0	0	104955	106262	bri	mokp1239	4.24178	9.23887	923.887	Mokpwe	29888	Narrow Bantu	"20,000 (2014 M. Engeler). Ethnic population: 150,000 (2014 M. Engeler)."	20000			8	A22_Bakweri	A21	1		
0	0	0	104955	106262	bqm	wumb1241	4.24717	9.08026	908.026	Wumboko	29885	Narrow Bantu	"4,000 (2000)."	4000			5		A22	0		
0	0	0	104955	107682	szv	isuf1235	3.96758	9.36535	936.535	Isu (Fako Division)	29886	Narrow Bantu	800 (1982 SIL). Few speakers (Dimmendaal and Voeltz 2007).	10			5		A23	0		
0	0	0	104955	107682	kme	bako1250	4.43654	8.97387	897.387	Bakole	29887	Narrow Bantu	300 (1982 SIL).	300			3		A231	0		
4	0	0	104955	107681	dua	dual1243	4.10208	9.61877	961.877	Duala	29880	Narrow Bantu	"87,700 (1982 SIL)."	87700			7	A24_Duala	A24-26	1		
0	0	0	104955	107681	mzd	mali1280	3.67696	9.67186	967.186	Malimba	29878	Narrow Bantu	"2,230 (2001 SIL)."	2230			3	A27_Malimba	A27	1		
