Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Abure	abu	typ:Begromissa:Aboure-Ehe	0.000787796	22	27926	0.011995989	335	27926
Punu	puu	st:Kouenzi-Mikala:Punu	7.30E-06	1	137039	0.001459439	200	137039
Tetela	tll	typ:Tassa:Tetela	3.40E-05	5	147103	0.001176047	173	147103
Mundang	mua	g:Elders:Mundang	7.14E-05	5	70041	0.000608977	132	216757
Bwela	bwl	typ:Donzo:Ebwela	0.002205376	16	7255	0.014472777	105	7255
Emerillon	eme	g:Rose:Emerillon:2003	0	0	194605	0.000462475	90	194605
Miyobe	soy	g:Pali:Miyobe	7.30E-06	1	136980	0.000620529	85	136980
Khroskyabs	jiq	g:Lai:Lavrung-Wobzi	1.24E-05	3	242711	0.000271928	66	242711
Kuwaataay	cwt	g:Coly:Kuwaataay	6.06E-05	7	115593	0.000562318	65	115593
Kabiyé	kbp	g:Lebikaza:Kabye	2.46E-05	2	81444	0.000699867	57	81444
Noon	snf	g:Wane:Noon	0.000167001	14	83832	0.00060836	51	83832
Mango	mge	s:Khamis:Mango	0	0	41026	0.00116999	48	41026
Ocaina	oca	g:Fagua:Ocaina	1.67E-05	2	119627	0.000359451	43	119627
Ngangam	gng	g:Bakpa:Ngbem	0	0	125320	0.000287265	36	125320
Wuzlam	udl	sd:deColombel:Ouldeme	0	0	103742	0.000337375	35	103742
Northwest Gbaya	gya	g:Noss:Gbaya	4.70E-05	2	42532	0.000775886	33	42532
Havu	hav	gd:Aramazani:Havu	0	0	213789	0.000154358	33	213789
Ngbaka Minagende	nga	s:Henrixetal:Ngbaka	0	0	34475	0.000928209	32	34475
Konkomba	xon	g:Adouna:Konkomba	0	0	124596	0.000240778	30	124596
Balanta-Ganja	bjt	g:CreisselsBiaye:Ganja	0	0	124829	0.000192263	24	124829
Beembe	beq	std:Jacquot:Beembe	3.04E-05	2	65883	0.000349104	23	65883
Dyula	dyu	s:Keita:Jula-Vernacularise	0	0	65114	0.000307154	20	65114
Ikposo	kpo	g:Soubrier:Ikposso	1.22E-05	2	163786	0.000122111	20	163786
South-Central Kikongo	kng	g:Lumwamu:Kongo	0	0	73418	0.000231551	17	73418
Masana	mcn	g:Melis:Masa	0	0	87809	0.00019651	15	76332
Mundani	mnf	typ:Parker:Mundani	0	0	227093	6.61E-05	15	227093
Viya	gev	sd:vanderVeen:Geviya	0	0	295813	4.73E-05	14	295813
Budu	buu	g:Asangama:Budu	2.34E-05	2	85536	0.000151983	13	85536
Southern Samo	sbd	g:Platiel:SamoToma	0	0	228127	5.70E-05	13	228127
Arame-Gubaare	NOCODE_Arame-Gubaare	s:Dabo:Edamme	0	0	49379	0.000243018	12	49379
Upper Guinea Crioulo	pov	g:Biagui:Afro-Portugais	9.05E-06	1	110454	0.000108643	12	110454
Ewondo	ewo	g:Essono:Ewondo	0	0	111679	0.000107451	12	111679
Yao	yao	g:Whiteley:Yao	0.000237009	28	118139	0.000101575	12	118139
Kwese	kws	g:Forges:Kwezo:1978	0	0	120859	9.93E-05	12	120859
Swati	ssw	g:Ilunga:Swati	6.27E-06	1	159494	7.52E-05	12	159494
Zaiwa	atb	gd:Lustig:Zaiwa	0.000376773	187	496320	2.42E-05	12	496320
Bainounk-Gujaher	bab	g:Goudiaby:Gujaahar-Niaguis	0	0	60225	0.000182648	11	60225
Balanta-Ganja	bjt	styp:Biaye:Balant-Ganja	0	0	95331	0.000115387	11	95331
Yanomamö	guu	g:Ramirez:Xamatauteri	1.89E-05	3	158614	6.94E-05	11	158614
Tikar	tik	g:Stanley:Tikar	0	0	128161	7.80E-05	10	128161
Mongo	lol	typ:Hulstaert:Lomongo:Supplement	0	0	28102	0.000320262	9	28102
